X,Y,Z,Settlement_mm
0.0,0.0,0.6,9.219693913175268
0.25,0.0,0.6,9.219285420653136
0.5,0.0,0.6,9.218092231978067
0.75,0.0,0.6,9.216209801738357
1.0,0.0,0.6,9.213757973311377
1.25,0.0,0.6,9.210858879148073
1.5,0.0,0.6,9.207695688125668
1.788920676621459,0.0,0.6,9.204018452316413
2.1356254885672064,0.0,0.6,7.637034948802992
2.5516712629021,0.0,0.6,6.176263647596171
3.0509261921039674,0.0,0.6,4.925970016302754
3.650032107146203,0.0,0.6,3.933798804817385
4.368959205196878,0.0,0.6,3.146833269878432
5.231671722857682,0.0,0.6,2.5365457551280097
6.266926744050636,0.0,0.6,2.083403438783891
7.50923276948217,0.0,0.6,1.785986294437243
8.999999999999998,0.0,0.6,1.671731574250801
0.0,0.25,0.6,9.219285420653136
0.25,0.25,0.6,9.21887530096355
0.5,0.25,0.6,9.217680185455883
0.75,0.25,0.6,9.215795992442073
1.0,0.25,0.6,9.213337841649075
1.25,0.25,0.6,9.210431435115833
1.5,0.25,0.6,9.207257478649478
1.788920676621459,0.25,0.6,9.203556109426259
2.1356254885672064,0.25,0.6,7.631600527661009
2.5516712629021,0.25,0.6,6.167078680489375
3.0509261921039674,0.25,0.6,4.916023463054106
3.650032107146203,0.25,0.6,3.925820961114
4.368959205196878,0.25,0.6,3.1415757592597457
5.231671722857682,0.25,0.6,2.533393179559288
6.266926744050636,0.25,0.6,2.081563128316304
7.50923276948217,0.25,0.6,1.7848582130581148
8.999999999999998,0.25,0.6,1.6708436585096142
0.0,0.5,0.6,9.218092231978067
0.25,0.5,0.6,9.217680185455883
0.5,0.5,0.6,9.216481485971295
0.75,0.5,0.6,9.214586915572145
1.0,0.5,0.6,9.212110586874568
1.25,0.5,0.6,9.209178020933011
1.5,0.5,0.6,9.205968610687352
1.788920676621459,0.5,0.6,9.202206240458121
2.1356254885672064,0.5,0.6,7.614571595477001
2.5516712629021,0.5,0.6,6.138454796674608
3.0509261921039674,0.5,0.6,4.885531536130449
3.650032107146203,0.5,0.6,3.901814815825749
4.368959205196878,0.5,0.6,3.1258801598329553
5.231671722857682,0.5,0.6,2.523982699442711
6.266926744050636,0.5,0.6,2.0760666856268934
7.50923276948217,0.5,0.6,1.781486341631138
8.999999999999998,0.5,0.6,1.6681886411108533
