X,Y,Z,Settlement_mm
0.0,0.0,-3.0,13.366691694804418
0.0,0.0,-13.0,1.6828100286910987
0.0,4.5,-3.0,8.10642677285741
0.0,4.5,-13.0,1.8516124822391633
4.5,0.0,-3.0,7.938348346388789
4.5,0.0,-13.0,1.8506181386279885
4.5,4.5,-3.0,6.851440346491707
4.5,4.5,-13.0,2.007383074230109
0.0,0.0,-20.0,0.0
0.0,4.5,-20.0,0.0
4.5,0.0,-20.0,0.0
4.5,4.5,-20.0,0.0
4.0,3.75,-1.2000000000000002,7.037768038449132
4.0,3.75,-1.6,7.0418190529404745
4.0,4.5,-1.2000000000000002,6.92426449640218
4.0,4.5,-1.6,6.921369033199754
4.5,3.75,-1.2000000000000002,6.961839355409343
4.5,3.75,-1.6,6.958382332683272
4.5,4.5,-1.2000000000000002,6.8573643282700445
4.5,4.5,-1.6,6.858512172310189
0.0,0.0,0.0,147.85064699748605
0.0,4.5,0.0,8.239636676118572
4.5,0.0,0.0,7.238267681767042
4.0,4.5,0.0,6.332457068497594
4.5,3.75,0.0,6.230616135991777
4.0,3.75,0.0,6.795487326862303
0.0,0.0,-11.0,3.052395365473213
0.0,0.0,-9.0,4.505594636808314
0.0,0.0,-7.0,6.069255710201227
0.0,0.0,-5.0,8.199637328355454
0.0,1.5,-3.0,11.368857958001628
0.0,3.0,-3.0,8.446254942673896
0.0,4.5,-11.0,3.183936112326998
0.0,4.5,-9.0,4.4746546946199235
0.0,4.5,-7.0,5.823470478950106
0.0,4.5,-5.0,7.0759299265000255
0.0,1.5,-13.0,1.7114228823082354
0.0,3.0,-13.0,1.7575039060317712
4.5,0.0,-11.0,3.1838606219199375
4.5,0.0,-9.0,4.480371582459453
4.5,0.0,-7.0,5.806779173124328
4.5,0.0,-5.0,6.998744484205461
4.5,1.6046804001522632,-3.0,7.46347993306203
4.5,3.181799933085046,-3.0,6.989657833582851
4.5,4.5,-11.313645567643713,3.0929991155575376
4.5,4.5,-9.627291135287425,4.117762088853123
4.5,4.5,-7.940936702931138,5.084003583840319
4.5,4.5,-6.254582270574851,5.937516535635179
4.5,4.5,-4.568227838218563,6.550250486769109
4.5,1.5,-13.0,1.8705273476469555
4.5,3.0,-13.0,1.9132475225954024
1.5,0.0,-13.0,1.7591187846637437
3.0,0.0,-13.0,1.7549684550984683
1.5,0.0,-3.0,10.744962456344803
3.0,0.0,-3.0,8.534566592449606
1.5,4.5,-13.0,1.93253487969179
3.0,4.5,-13.0,1.9249791247522288
1.584723540116541,4.5,-3.0,7.580527093603326
3.1598296282802,4.5,-3.0,7.002908962775531
0.0,0.0,-18.25,0.3248999195132432
0.0,0.0,-16.5,0.7191500126878901
0.0,0.0,-14.75,1.1710761478126692
0.0,4.5,-18.25,0.4201144351436551
0.0,4.5,-16.5,0.8283532992216989
0.0,4.5,-14.75,1.3119590193876813
0.0,1.5,-20.0,0.0
0.0,3.0,-20.0,0.0
4.5,0.0,-18.25,0.42450156165341657
4.5,0.0,-16.5,0.8277562680883863
4.5,0.0,-14.75,1.3049174653646998
4.5,4.5,-18.25,0.5152123068716961
4.5,4.5,-16.5,0.9466657205877897
4.5,4.5,-14.75,1.4431877811277587
4.5,1.5,-20.0,0.0
4.5,3.0,-20.0,0.0
1.5,0.0,-20.0,0.0
3.0,0.0,-20.0,0.0
1.5,4.5,-20.0,0.0
3.0,4.5,-20.0,0.0
4.0,3.75,-1.4000000000000006,7.038270976434516
4.0,4.0,-1.2000000000000002,7.000076166200639
4.0,4.25,-1.2000000000000002,6.961801775931391
4.0,4.5,-1.4000000000000006,6.923823994917275
4.0,4.0,-1.6,7.000749505630328
4.0,4.25,-1.6,6.961765888736039
4.5,3.75,-1.4000000000000006,6.961172316881848
4.5,4.0,-1.2000000000000002,6.928044948506135
4.5,4.25,-1.2000000000000002,6.893000535912501
4.5,4.5,-1.4000000000000006,6.857600249475455
4.5,4.0,-1.6,6.928540773543654
4.5,4.25,-1.6,6.893716236181586
4.25,3.75,-1.6,6.997979566687696
4.25,3.75,-1.2000000000000002,6.998823536106375
4.25,4.5,-1.6,6.891873805078585
4.25,4.5,-1.2000000000000002,6.891211213744752
0.0,0.0,-1.5,41.50329975214643
0.0,1.5,0.0,17.22219378949896
0.0,3.0,0.0,11.1229657873085
0.0,4.5,-1.5,8.52848338261414
4.5,0.0,-1.5,7.747384826749693
1.5,0.0,0.0,21.66091903210755
3.0,0.0,0.0,10.367864499736811
1.4454051294351817,4.5,0.0,8.01171498614034
2.854943045213809,4.5,0.0,7.118390536658089
4.5,1.3566387154160202,0.0,7.2936812904213
4.5,2.673961163281544,0.0,6.85765487947809
4.5,4.5,-2.388633289041375,7.001075348878444
4.5,4.5,-1.9356983878079541,6.954838619123211
4.0,4.5,-1.3021165911712198,6.707968610595824
4.0,4.5,-0.9867085156116657,6.5205401437761905
4.0,4.5,-0.5680869721235369,6.379910649750394
4.5,3.75,-1.3021165911712198,6.694866527114738
4.5,3.75,-0.9867085156116657,6.463534434301717
4.5,3.75,-0.5680869721235369,6.322976464736447
4.0,3.75,-1.3021165911712198,6.957057101574306
4.0,3.75,-0.9867085156116657,6.877571430147471
4.0,3.75,-0.5680869721235369,6.793393302415188
0.0,2.322023904108364,-11.64919880691417,2.753511400907058
0.0,2.322023904108364,-4.350801193085832,8.124535811390329
0.0,1.327949058080303,-8.0,5.26596480722674
0.0,1.5653200825826594,-9.949885543844882,3.828521588492323
0.0,1.5653200825826594,-6.05011445615512,6.788524583913255
