X,Y,Settlement_mm
6.0,13.0,0.426116
7.0,13.0,0.394293
8.0,13.0,0.360913
9.0,13.0,0.326548
10.0,13.0,0.291491
11.0,13.0,0.255769
12.0,13.0,0.219181
13.0,13.0,0.181434
14.0,13.0,0.142385
15.0,13.0,0.102614
0.0,14.0,0.442361
1.0,14.0,0.439616
2.0,14.0,0.431514
3.0,14.0,0.418441
4.0,14.0,0.400982
5.0,14.0,0.37985
6.0,14.0,0.355793
7.0,14.0,0.329508
8.0,14.0,0.301564
9.0,14.0,0.272335
10.0,14.0,0.241968
11.0,14.0,0.210379
12.0,14.0,0.177296
13.0,14.0,0.142385
14.0,14.0,0.105528
15.0,14.0,0.067396
0.0,15.0,0.35096
1.0,15.0,0.348886
2.0,15.0,0.342754
3.0,15.0,0.332815
4.0,15.0,0.319456
5.0,15.0,0.303143
6.0,15.0,0.284365
7.0,15.0,0.263567
8.0,15.0,0.241086
9.0,15.0,0.2171
10.0,15.0,0.191585
11.0,15.0,0.164302
12.0,15.0,0.134817
13.0,15.0,0.102614
14.0,15.0,0.067396
15.0,15.0,0.029897
