NodeTag,X,Y,Settlement_mm
199,9.0000,9.0000,10.492767
200,10.0000,9.0000,11.125335
201,11.0000,9.0000,10.492767
220,9.0000,10.0000,11.125335
221,10.0000,10.0000,12.219073
222,11.0000,10.0000,11.125335
241,9.0000,11.0000,10.492767
242,10.0000,11.0000,11.125335
243,11.0000,11.0000,10.492767
