X,Y,Z,Settlement_gravedad_mm,Settlement_carga_mm,Settlement_total_mm
0.0,0.0,-3.0,115.30607664368486,13.180497970850695,128.48657461453556
0.0,0.0,-13.0,39.52420113464781,1.6593691871143577,41.18357032176217
0.0,4.5,-3.0,113.8601856091473,7.993516135314351,121.85370174446165
0.0,4.5,-13.0,41.17387172254954,1.8258202586141365,42.99969198116368
4.5,0.0,-3.0,113.95056206200312,7.827780758950823,121.77834282095394
4.5,0.0,-13.0,41.173164403431876,1.8248397957447082,42.998004199176584
4.5,4.5,-3.0,111.94054933833262,6.755916001175038,118.69646533950765
4.5,4.5,-13.0,42.673323022373275,1.9794209768649011,44.652743999238176
0.0,0.0,-20.0,0.0,0.0,0.0
0.0,4.5,-20.0,0.0,0.0,0.0
4.5,0.0,-20.0,0.0,0.0,0.0
4.5,4.5,-20.0,0.0,0.0,0.0
4.0,3.75,-1.2000000000000002,122.33080396507552,6.942237027841486,129.273040992917
4.0,3.75,-1.6,122.33024646107862,6.94232778820043,129.27257424927905
4.0,4.5,-1.2000000000000002,120.94784947938447,6.82823637720881,127.77608585659328
4.0,4.5,-1.6,120.94761823660473,6.828176781053145,127.77579501765787
4.5,3.75,-1.2000000000000002,121.20558171186589,6.865911768541494,128.07149348040738
4.5,3.75,-1.6,121.20565857371368,6.865839960075775,128.07149853378945
4.5,4.5,-1.2000000000000002,119.82219793043215,6.752104965456624,126.57430289588878
4.5,4.5,-1.6,119.82198963697888,6.75212981962116,126.57411945660004
0.0,0.0,0.0,129.53757246871325,145.79111826078295,275.3286907294962
0.0,4.5,0.0,127.96304630150362,8.124872018741655,136.08791832024528
4.5,0.0,0.0,128.11972890576436,7.137529884202877,135.25725878996724
4.0,4.5,0.0,125.47060513877048,6.2450867419474605,131.71569188071794
4.5,3.75,0.0,125.8096042724998,6.144516935092355,131.95412120759215
4.0,3.75,0.0,126.54843531334947,6.701335697212841,133.2497710105623
0.0,0.0,-11.0,62.5932333227054,3.0098770997946502,65.60311042250005
0.0,0.0,-9.0,81.90165204791421,4.442834600245831,86.34448664816004
0.0,0.0,-7.0,96.74550836890191,5.984715590375444,102.73022395927735
0.0,0.0,-5.0,107.76605267957969,8.085422575990933,115.85147525557062
0.0,1.5,-3.0,114.94386918632266,11.210492952490014,126.15436213881267
0.0,3.0,-3.0,114.3231906507603,8.328603094512175,122.65179374527247
0.0,4.5,-11.0,62.77261562746221,3.1395852723694517,65.91220089983166
0.0,4.5,-9.0,80.98759184979988,4.412324892672544,85.39991674247243
0.0,4.5,-7.0,94.99697743109681,5.74235352823824,100.73933095933505
0.0,4.5,-5.0,106.15203075182438,6.977369380403914,113.1294001322283
0.0,1.5,-13.0,39.79362976600494,1.6875834625300428,41.48121322853498
0.0,3.0,-13.0,40.143762983223496,1.733022576719975,41.87678555994347
4.5,0.0,-11.0,62.77782309552825,3.1395110047136257,65.91733410024187
4.5,0.0,-9.0,81.15433670217506,4.417962411808034,85.57229911398309
4.5,0.0,-7.0,95.04993313524605,5.725894702969271,100.77582783821532
4.5,0.0,-5.0,106.0758167107864,6.901258633092837,112.97707534387924
4.5,1.6046804001522632,-3.0,113.45619632250123,7.359529632163415,120.81572595466464
4.5,3.181799933085046,-3.0,112.55119946284066,6.892248475639121,119.44344793847978
4.5,4.5,-11.313645567643713,60.03973158854776,3.049914504126356,63.089646092674116
4.5,4.5,-9.627291135287425,74.96473301459764,4.060402404718161,79.0251354193158
4.5,4.5,-7.940936702931138,87.49078478980229,5.013182470073005,92.5039672598753
4.5,4.5,-6.254582270574851,97.80072186147838,5.854800399585926,103.6555222610643
4.5,4.5,-4.568227838218563,106.08281104833675,6.458985857004166,112.54179690534092
4.5,1.5,-13.0,41.43851076135404,1.8444716409987336,43.28298240235277
4.5,3.0,-13.0,41.74417848224441,1.8865967109354216,43.63077519317983
1.5,0.0,-13.0,40.62925749659577,1.7346150056067913,42.36387250220256
3.0,0.0,-13.0,40.09411597644593,1.7305224833733774,41.824638459819305
1.5,0.0,-3.0,114.9365845732022,10.59528929742234,125.53187387062454
