X,Y,Z,Settlement_mm
0.0,0.0,0.0,31.689839365808652
0.5,0.0,0.0,25.099595439867233
1.0,0.0,0.0,23.24034171487126
1.5,0.0,0.0,20.65647694832567
1.9802364689268739,0.0,0.0,12.08354689411825
2.493129017740777,0.0,0.0,9.500363523547632
3.040898259874027,0.0,0.0,7.628274481438334
3.6259158104723404,0.0,0.0,6.374111631197998
4.250714554511341,0.0,0.0,5.448497819928045
4.917999613144996,0.0,0.0,4.745861148739749
5.630660055765742,0.0,0.0,4.1960251983924595
6.391781408484701,0.0,0.0,3.754559879198682
7.204659013188552,0.0,0.0,3.385992164010467
8.072812295012268,0.0,0.0,3.054381395442813
9.0,0.0,0.0,2.7200803126808517
0.0,0.5,0.0,25.099595439867226
0.5,0.5,0.0,22.145126465339622
1.0,0.5,0.0,20.045040794502214
1.5,0.5,0.0,17.26323946825728
1.9802364689268739,0.5,0.0,12.082643442387859
2.493129017740777,0.5,0.0,9.308558733915632
3.040898259874027,0.5,0.0,7.543493495752143
3.6259158104723404,0.5,0.0,6.318734076682976
4.250714554511341,0.5,0.0,5.41485448979529
4.917999613144996,0.5,0.0,4.723720584469553
5.630660055765742,0.5,0.0,4.181035747722609
6.391781408484701,0.5,0.0,3.7439166013562972
7.204659013188552,0.5,0.0,3.3781017605165995
8.072812295012268,0.5,0.0,3.0483586725965908
9.0,0.5,0.0,2.7156286693778777
0.0,1.0,0.0,23.240341714871242
0.5,1.0,0.0,20.045040794502178
1.0,1.0,0.0,18.38381271636744
1.5,1.0,0.0,16.12805294448733
1.9802364689268739,1.0,0.0,11.143024531535684
2.493129017740777,1.0,0.0,8.86687088033559
3.040898259874027,1.0,0.0,7.283781921625726
3.6259158104723404,1.0,0.0,6.163217668937186
4.250714554511341,1.0,0.0,5.316487390125204
4.917999613144996,1.0,0.0,4.65919681236858
5.630660055765742,1.0,0.0,4.136959051405613
6.391781408484701,1.0,0.0,3.71251970384497
7.204659013188552,1.0,0.0,3.35474342487903
8.072812295012268,1.0,0.0,3.0304898928716693
9.0,1.0,0.0,2.7023938414095947
0.0,1.5,0.0,20.656476948325654
0.5,1.5,0.0,17.26323946825723
1.0,1.5,0.0,16.128052944487358
1.5,1.5,0.0,14.5301975799211
1.9802364689268739,1.5,0.0,9.875339529583421
2.493129017740777,1.5,0.0,8.207741482452056
3.040898259874027,1.5,0.0,6.895556309316847
3.6259158104723404,1.5,0.0,5.924592292648883
4.250714554511341,1.5,0.0,5.162973389485724
4.917999613144996,1.5,0.0,4.557038134191702
5.630660055765742,1.5,0.0,4.0664213458946685
6.391781408484701,1.5,0.0,3.661850082942938
7.204659013188552,1.5,0.0,3.3168119961835485
8.072812295012268,1.5,0.0,3.0013429905993183
9.0,1.5,0.0,2.680712973242555
0.0,1.9802364689268739,0.0,12.083546894118237
0.5,1.9802364689268739,0.0,12.082643442387841
1.0,1.9802364689268739,0.0,11.143024531535655
1.5,1.9802364689268739,0.0,9.875339529583416
1.9802364689268739,1.9802364689268739,0.0,8.808812264284631
2.493129017740777,1.9802364689268739,0.0,7.45677530425301
3.040898259874027,1.9802364689268739,0.0,6.45581593896435
3.6259158104723404,1.9802364689268739,0.0,5.640457840792341
4.250714554511341,1.9802364689268739,0.0,4.976485821180226
4.917999613144996,1.9802364689268739,0.0,4.430240287915878
5.630660055765742,1.9802364689268739,0.0,3.9775631771769824
6.391781408484701,1.9802364689268739,0.0,3.5972410730646027
7.204659013188552,1.9802364689268739,0.0,3.2680104141096207
8.072812295012268,1.9802364689268739,0.0,2.9635964483870336
9.0,1.9802364689268739,0.0,2.6524612338301727
0.0,2.493129017740777,0.0,9.500363523547609
0.5,2.493129017740777,0.0,9.308558733915639
1.0,2.493129017740777,0.0,8.86687088033558
1.5,2.493129017740777,0.0,8.207741482452011
1.9802364689268739,2.493129017740777,0.0,7.456775304253026
2.493129017740777,2.493129017740777,0.0,6.695729351839032
3.040898259874027,2.493129017740777,0.0,5.954806219841379
3.6259158104723404,2.493129017740777,0.0,5.307769745480403
4.250714554511341,2.493129017740777,0.0,4.749625847342233
4.917999613144996,2.493129017740777,0.0,4.272272691024848
5.630660055765742,2.493129017740777,0.0,3.8645752163540794
6.391781408484701,2.493129017740777,0.0,3.5138174466842393
7.204659013188552,2.493129017740777,0.0,3.2042546106238685
8.072812295012268,2.493129017740777,0.0,2.913865352931017
9.0,2.493129017740777,0.0,2.6149445881743723
0.0,3.040898259874027,0.0,7.628274481438357
0.5,3.040898259874027,0.0,7.543493495752166
1.0,3.040898259874027,0.0,7.283781921625724
1.5,3.040898259874027,0.0,6.895556309316823
1.9802364689268739,3.040898259874027,0.0,6.455815938964315
2.493129017740777,3.040898259874027,0.0,5.954806219841378
3.040898259874027,3.040898259874027,0.0,5.440653613108477
3.6259158104723404,3.040898259874027,0.0,4.946133860987659
4.250714554511341,3.040898259874027,0.0,4.493235094207812
4.917999613144996,3.040898259874027,0.0,4.087978329144074
5.630660055765742,3.040898259874027,0.0,3.7294669952355255
6.391781408484701,3.040898259874027,0.0,3.4120873033862593
7.204659013188552,3.040898259874027,0.0,3.12534145157023
8.072812295012268,3.040898259874027,0.0,2.8516293172929426
9.0,3.040898259874027,0.0,2.5675189208219686
0.0,3.6259158104723404,0.0,6.374111631198015
0.5,3.6259158104723404,0.0,6.3187340766829765
1.0,3.6259158104723404,0.0,6.163217668937188
1.5,3.6259158104723404,0.0,5.924592292648851
1.9802364689268739,3.6259158104723404,0.0,5.640457840792308
2.493129017740777,3.6259158104723404,0.0,5.307769745480387
3.040898259874027,3.6259158104723404,0.0,4.946133860987652
3.6259158104723404,3.6259158104723404,0.0,4.57749678641103
4.250714554511341,3.6259158104723404,0.0,4.219714504355205
